Group,body_fat,weight
1,12.3,154.25
1,6.1,173.25
1,25.3,154
1,10.4,184.75
1,28.7,184.25
1,20.9,210.25
1,19.2,181
1,12.4,176
1,4.1,191
1,11.7,198.25
1,7.1,186.25
1,7.8,216
1,20.8,180.5
1,21.2,205.25
1,22.1,187.75
1,20.9,162.75
1,29,195.75
1,22.9,209.25
1,16,183.75
1,16.5,211.75
1,19.1,179
1,15.2,200.5
1,15.6,140.25
1,17.7,148.75
1,14,151.25
1,3.7,159.25
1,7.9,131.5
1,22.9,148
1,3.7,133.25
1,8.8,160.75
1,11.9,182
1,5.7,160.25
1,11.8,168
1,21.3,218.5
1,32.3,247.25
1,40.1,191.75
1,24.2,202.25
1,28.4,196.75
1,35.2,363.15
1,32.6,203
1,34.5,262.75
1,32.9,205
1,31.6,217
1,32,212
1,7.7,125.25
1,13.9,164.25
1,10.8,133.5
1,5.6,148.5
1,13.6,135.75
1,4,127.5
1,10.2,158.25
1,6.6,139.25
1,8,137.25
1,6.3,152.75
1,3.9,136.25
1,22.6,198
1,20.4,181.5
1,28,201.25
1,31.5,202.5
1,24.6,179.75
1,26.1,216
1,29.8,178.75
1,30.7,193.25
1,25.8,178
1,32.3,205.5
1,30,183.5
1,21.5,151.5
1,13.8,154.75
1,6.3,155.25
1,12.9,156.75
1,24.3,167.5
1,8.8,146.75
1,8.5,160.75
1,13.5,125
1,11.8,143
1,18.5,148.25
1,8.8,162.5
1,22.2,177.75
1,21.5,161.25
1,18.8,171.25
1,31.4,163.75
1,26.8,150.25
1,18.4,190.25
1,27,170.75
1,27,168
1,26.6,167
1,14.9,157.75
1,23.1,160
1,8.3,176.75
1,14.1,176
1,20.5,177
1,18.2,179.75
1,8.5,165.25
1,24.9,192.5
1,9,184.25
1,17.4,224.5
1,9.6,188.75
1,11.3,162.5
1,17.8,156.5
1,22.2,197
1,21.2,198.5
1,20.4,173.75
1,20.1,172.75
1,22.3,196.75
1,25.4,177
1,18,165.5
1,19.3,200.25
1,18.3,203.25
1,17.3,194
1,21.4,168.5
1,19.7,170.75
1,28,183.25
1,22.1,178.25
1,21.3,163
1,26.7,175.25
1,16.7,158
1,20.1,177.25
1,13.9,179
1,25.8,191
1,18.1,187.5
1,27.9,206.5
1,25.3,185.25
1,14.7,160.25
1,16,151.5
1,13.8,161
1,17.5,167
1,27.2,177.5
1,17.4,152.25
1,20.8,192.25
1,14.9,165.25
1,18.1,171.75
1,22.7,171.25
1,23.6,197
1,26.1,157
1,24.4,168.25
1,27.1,186
1,21.8,166.75
1,29.4,187.75
1,22.4,168.25
1,20.4,212.75
1,24.9,176.75
1,18.3,173.25
1,23.3,167
1,9.4,159.75
1,10.3,188.15
1,14.2,156
1,19.2,208.5
1,29.6,206.5
1,5.3,143.75
1,25.2,223
1,9.4,152.25
1,19.6,241.75
1,10.1,146
1,16.5,156.75
1,21,200.25
1,17.3,171.5
1,31.2,205.75
1,10,182.5
1,12.5,136.5
1,22.5,177.25
1,9.4,151.25
1,14.6,196
1,13,184.25
1,15.1,140
1,27.3,218.75
1,19.2,217
1,21.8,166.25
1,20.3,224.75
1,34.3,228.25
1,16.5,172.75
1,3,152.25
1,0.7,125.75
1,20.5,177.25
